ثروت|ثروت یک جریان انرژی است. روی فراوانی تمرکز کن.
پول|پول به دنبال ارزش می‌آید. خودت را رشد بده.
ایمان|ایمان یعنی باور به نادیدنی‌ها.
عشق|عشق قوی‌ترین نیروی جهان است.
لیاقت|تو وارث تمام فراوانی‌های این جهان هستی.
چجوری ثروتمند بشم|ثروت یک جریان انرژی است. برای جذب آن، ابتدا باید در درون خودت احساس غنا ایجاد کنی و روی فراوانی تمرکز کنی.
باور هامو چطور عوض کنم|باورها فیلترهای ذهن تو هستند. با تکرار جملات تأکیدی و تصویرسازی در حالت آلفا، می‌توانی مدار ذهنت را تغییر دهی.
راه جذب پول چیه|پول به دنبال ارزش می‌آید. وقتی روی رشد شخصی‌ات سرمایه‌گذاری کنی و مهارت‌هایت را بالا ببری، پول سرازیر می‌شود.
چرا به خواسته هام نمیرسم|زمانِ رسیدن به خواسته به میزان هماهنگی فرکانسی تو بستگی دارد. اگر هنوز نرسیدی، یعنی هنوز با آن هم‌مدار نشده‌ای.
چطور حالمو خوب کنم|احساس تو قطب‌نمای توست. برای تغییر حال، روی داشته‌هایت شکرگزاری کن؛ شکرگزاری سریع‌ترین راه برای تغییر ارتعاش است.
از کجا شروع کنم|از تغییر ورودی‌های ذهنت شروع کن. شنیدن پادکست‌های مثبت و قطع کردن اخبار اولین قدم برای ورود به ماورای ذهن است.
چرا همش بد میارم|فرکانس‌های مشابه هم را جذب می‌کنند. تو همان چیزی را جذب می‌کنی که در درون هستی. آگاهانه کانون توجهت را تغییر بده.
چجوری هدف گذاری کنم|هدفی که نوشته نشود فقط یک آرزوست. اهدافت را با جزئیات دقیق و با فعل زمان حال روی کاغذ بیاور و هر روز مرور کن.
چطور استرسم رو کم کنم|استرس یعنی تمرکز روی چیزی که نمی‌خواهی. با ایمان قدم بردار و بدان قدرتی بزرگتر در کائنات مراقب تو و مسیرت هست.
آیا من لیاقت موفقیت دارم|تو وارث تمام فراوانی‌های این جهان هستی. لیاقت تو ذاتی و الهی است، فقط کافیست آن را باور کنی تا در زندگی‌ات جاری شود.
